Name,FITS,HIcont,HIcont_p,Voxels,Image size,RMS,High/No,High/Yes,Tri2,Tri3,Tri5,Levels,Split,T_RAM,P_RAM
HCG30,56.006,20120.0,0.1370566231863839,14680064.0,0.7265244753812473,0.0004942347295582,4.43,highyes,0.732,0.253,0.067,3.0,1.0,492.9482421875,148.83203125
HCG31,15.76,24236.0,0.5870031932043651,4128768.0,0.0201268451545716,0.0006017159321345,2.939,highyes,0.513,0.189,0.067,3.0,1.0,468.513671875,141.05078125
HCG33,3.51,1886.0,0.2055576869419643,917504.0,0.0117758617437214,0.0007854541181586,0.398,highyes,0.074,0.038,0.026,3.0,1.0,404.3427734375,128.46875
HCG37A,83.007,52500.0,0.2412910921027861,21757952.0,0.8341031616414375,0.0007180758984759,11.997,highyes,1.884,0.634,0.162,3.0,1.0,571.953125,215.16796875
HCG38,343.007,53566.0,0.059573782428708,89915392.0,1.3169415478121316,0.0012275859480723,13.07,highyes,2.116,0.688,0.188,3.0,1.0,567.244140625,215.51953125
HCG40,14.507,7532.0,0.1981537917564655,3801088.0,0.3224014424199641,0.0003141138295177,1.847,highyes,0.241,0.135,0.04,3.0,1.0,456.5126953125,141.7421875
HCG47,514.006,223661.0,0.1659920243437652,134742016.0,0.1865016489957651,0.000438658404164,52.28,highyes,9.046,3.24,0.434,3.0,1.0,966.6728515625,543.71484375
HCG48,56.006,19234.0,0.1310212271554129,14680064.0,0.8177896684162683,0.0008145158644765,4.538,highyes,0.717,0.255,0.083,3.0,1.0,486.6630859375,149.3359375
HCG49,15.76,15675.0,0.3796532040550595,4128768.0,0.4615995883855499,0.0003989051328971,2.285,highyes,0.32,0.172,0.048,3.0,1.0,439.31640625,127.9921875
HCG54,63.009,28519.0,0.1726846846323164,16515072.0,0.1934311675138082,0.0004346284549683,6.546,highyes,1.069,0.33,0.087,3.0,1.0,507.466796875,168.890625
HCG56,682.007,210969.0,0.1180033529958417,178782208.0,0.299417013794226,0.0004451489076018,53.169,highyes,9.937,3.653,1.12,3.0,1.0,970.5,546.1640625
HCG57,513.007,168950.0,0.1256321838259929,134479872.0,0.1952627762027333,0.0005510537885129,45.89,highyes,7.28,2.342,0.502,3.0,1.0,910.9501953125,500.578125
HCG58,48.008,45665.0,0.3629128138224283,12582912.0,1.3081126288958351,0.000256690691458,6.917,highyes,0.992,0.361,0.117,3.0,1.0,510.9130859375,172.046875
HCG59,392.006,360652.0,0.3509638260821907,102760448.0,0.1857359588993385,0.0006620386266149,44.201,highyes,8.238,3.511,0.861,3.0,1.0,863.0341796875,451.19140625
HCG61,343.007,244700.0,0.2721447291249089,89915392.0,0.2072807636137762,0.0003646620607469,55.494,highyes,9.61,3.216,0.664,3.0,1.0,976.4658203125,549.69921875
HCG62,513.007,187634.0,0.1395257128144797,134479872.0,0.1838227951332423,0.0005820092628709,52.081,highyes,8.278,2.583,0.567,3.0,1.0,968.169921875,543.8203125
N5350,63.007,36045.0,0.2182551792689732,16515072.0,1.677127371594321,0.0007369426311925,5.204,highyes,0.946,0.316,0.096,3.0,1.0,492.005859375,154.5859375
HCG71,511.007,327390.0,0.2444019056346318,133955584.0,0.2005258347332508,0.0003932426916435,61.793,highyes,10.701,3.456,0.944,3.0,1.0,1045.578125,606.26953125
HCG79,63.504,24522.0,0.1473292916009687,16644348.0,0.1951606528706524,0.0004680713755078,6.468,highyes,0.923,0.334,0.083,3.0,1.0,510.7568359375,168.42578125
HCG88,14.01,13159.0,0.3585542951311384,3670016.0,0.0453938849739199,0.0002912853960879,2.228,highyes,0.366,0.144,0.048,3.0,1.0,456.4873046875,142.15625
HCG90,7.759,4281.0,0.2107189547631048,2031616.0,0.2133509300760925,0.0005158698186278,1.0,highyes,0.129,0.05,0.029,3.0,1.0,452.369140625,143.3046875
HCG91,54.006,22774.0,0.1608813250506365,14155776.0,0.8232044861280452,0.0006528759258799,5.246,highyes,0.856,0.262,0.078,3.0,1.0,493.0234375,154.91796875
HCG92,57.008,181893.0,1.2173100521689966,14942208.0,0.218076437045273,0.0001100559238693,33.162,highyes,6.241,1.876,0.368,3.0,1.0,797.0517578125,403.375
HCG93,52.007,20828.0,0.1527932974008413,13631488.0,0.7651235916353831,0.0004013289581052,4.285,highyes,0.664,0.241,0.077,3.0,1.0,480.640625,149.19921875
H95,12.011,4912.0,0.1561482747395833,3145728.0,0.0457704260058357,0.0003090162645094,1.249,highyes,0.216,0.075,0.035,3.0,1.0,448.251953125,141.55859375
NGC7674,252.007,56537.0,0.0855839441693018,66060288.0,0.7345506671502007,0.0003127145173493,12.703,highyes,1.777,0.835,0.316,3.0,1.0,570.9130859375,214.86328125
HCG97,53.006,20625.0,0.1484493039688974,13893632.0,0.7261873896052995,0.0004296694532968,4.411,highyes,0.666,0.268,0.075,3.0,1.0,485.5712890625,148.890625
